"household.id","sex.ref.person","income.class","region","race.ref.person","family.type","income.rank","population.size","home.type","food","housing","apparel","transportation","healthcare","entertainment","education"
2311845,"female","$15K-$19,999","Northeast","white","single person",0.2254,"4 million+","duplex",550,2781,45,315,405.2,300,0
2311853,"male","$30K-$39,999","South","white","H/W, own children only, oldest child 6-17 years old",0.4192,"less than 125 thousand","mobile home or trailer",1485,5420,522,2160,2353,729,0
2311974,"female","$10K-$14,999","Northeast","white","single person",NA,"4 million+","apartment or flat",1196,2046,51,60,414.2,150,0
2312034,"female","$30K-$39,999","South","white","Husband and wife only",0.4075,"125-329 thousand","single family detached",585,4444,0,690,0,168,0
2312125,"male","$15K-$19,999","South","white","one parent, male, at least one child under 18 years old",0.1916,"4 million+","duplex",1040,415,10,515,0,180,0
2312245,"female","$10K-$14,999","Northeast","white","single person",0.1072,"4 million+","apartment or flat",390,2240,143,0,0,36,0
2312313,"female","$15K-$19,999","Northeast","white","H/W, own children only, oldest child over 17 years old",0.2295,"1.2-4 million","apartment or flat",2470,2144,615,150,0,735,0
2312335,"female","$30K-$39,999","Midwest","white","H/W, own children only, oldest child 6-17 years old",0.4589,"1.2-4 million","single family detached",2379,2369,107,1689,430,774,0
2312384,"male","$30K-$39,999","West","white","single person",0.3854,"1.2-4 million","apartment or flat",611,2680,0,860,425,300,0
2312513,"female","$70K+","Northeast","white","H/W, own children only, oldest child over 17 years old",0.8442,"125-329 thousand","single family detached",2345,7368,256,6205,1515,1740,0
2312534,"female","$50K-$69,999","South","white","single person",0.5717,"1.2-4 million","duplex",1484,3346,0,569,814.2,450,600
2312535,"female","$40K-$49,999","South","white","single person",0.4908,"1.2-4 million","duplex",1232,1981,275,899,914.2,213,537
2312613,"female","<$5K","South","asian","one parent, female, at least one child under 18 years old",0.0254,"4 million+","single family detached",1820,3792,20,650,510,285,25
2312684,"male","$15K-$19,999","Midwest","white","Husband and wife only",0.2036,"125-329 thousand","single family detached",1630,3194.25,297,1460,946,662,0
2312685,"male","$70K+","Midwest","white","Husband and wife only",0.7276,"125-329 thousand","single family detached",1934,2606.25,273,1571,1525,791,0
2312933,"male","$40K-$49,999","South","black","single person",0.528,"4 million+","garden",780,3060,26,650,420,180,0
2313084,"male","$30K-$39,999","Midwest","white","one parent, male, at least one child under 18 years old",NA,"less than 125 thousand","single family detached",650,1682,25,882,60,360,0
2313085,"male","$5K-$9,999","Midwest","white","one parent, male, at least one child under 18 years old",0.0546,"less than 125 thousand","single family detached",845,1780,155,1303,320,440,0
2313133,"female","$20K-$29,999","South","white","single person",NA,"125-329 thousand","single family detached",1625,1325,0,643,120,0,0
2313364,"male","$50K-$69,999","Midwest","white","Husband and wife only",0.5714,"125-329 thousand","single family detached",2011,1804,8,2107,3468.4,283,0
2313373,"male","$70K+","West","white","Husband and wife only",0.8516,"1.2-4 million","duplex",2260,6407.5,711,3284,1002.4,381,0
2313375,"male","$70K+","West","white","Husband and wife only",0.8749,"1.2-4 million","duplex",2275,3906.5,403,1674,615.4,514,0
2313544,"male","$70K+","Midwest","white","H/W, own children only, oldest child under 6 years old",0.7281,"125-329 thousand","single family detached",1820,5011,241,1035,2025,451,0
2313615,"female","$30K-$39,999","South","white","single person",0.3779,".33-1.19 million","single family detached",520,2937,66,163,4546.2,204,0
2313623,"female","$70K+","West","asian","Husband and wife only",0.7205,"4 million+","apartment or flat",1861,4413,135,420,0,522,0
2313684,"female","$20K-$29,999","West","native american","Other H/W household",0.1855,"4 million+","3-plex or 4-plex",1820,3240,102,93,429.2,510,0
2313803,"female","$50K-$69,999","West","white","Other H/W household",0.6401,"1.2-4 million","single family detached",3110,6809,272,36337,4040,1562,0
2313805,"female","$70K+","West","white","Other H/W household",0.7564,"1.2-4 million","single family detached",3310,6179.5,315,1757,5001,1475,0
2313854,"female","$70K+","South","white","other household",0.8564,".33-1.19 million","single family detached",4097,7711,376,1268,825,498,28
2313923,"male","$40K-$49,999","Midwest","white","single person",0.5249,"less than 125 thousand","single family detached",689,1945.75,409,684,946.2,605,0
2313935,"male","$30K-$39,999","Northeast","white","single person",0.441,"1.2-4 million","apartment or flat",4710,2962,277,1340,195,706,0
2313964,"male","$5K-$9,999","Midwest","white","single person",0.0791,"less than 125 thousand","single family detached",1014,838.25,0,0,391.2,153,0
2314113,"female","$50K-$69,999","West","white","other household",NA,"1.2-4 million","single family detached",1764,8394,200,842,550,990,400
2314145,"female","$20K-$29,999","South","white","H/W, own children only, oldest child 6-17 years old",NA,".33-1.19 million","duplex",1690,2484,96,667,0,15,0
2314184,"male","$20K-$29,999","South","white","single person",0.2967,"125-329 thousand","single family detached",1365,2177,290,1290,0,186,0
2314313,"male","$70K+","South","white","Husband and wife only",0.8493,"4 million+","single family detached",3640,18621,977,4862,0,755,0
2314314,"male","$70K+","South","white","Husband and wife only",0.8445,"4 million+","single family detached",2555,7119,331,2961,176,1023,200
2314335,"male","$10K-$14,999","Midwest","white","other household",0.0967,"less than 125 thousand","single family detached",1170,1290,0,368,521.2,258,0
2314473,"female","$70K+","South","black","H/W, own children only, oldest child under 6 years old",0.7261,"4 million+","single family detached",1580,6726,415,4102,1030,388,0
2314474,"female","$70K+","South","black","H/W, own children only, oldest child under 6 years old",0.7217,"4 million+","single family detached",1130,4397,325,2606,630,271,0
2314525,"female","$40K-$49,999","Midwest","white","single person",0.5205,"4 million+","apartment or flat",780,3653,0,540,300,300,0
2314603,"female","$70K+","South","white","H/W, own children only, oldest child 6-17 years old",0.9319,"125-329 thousand","single family detached",3367,6819,510,300,255,876,0
2314614,"female","<$5K",NA,"white","single person",0.035,NA,"mobile home or trailer",650,2095,0,525,96,252,0
2314655,"female","$50K-$69,999","Midwest","white","H/W, own children only, oldest child 6-17 years old",NA,"125-329 thousand","single family detached",1365,3062,0,1058,1200,180,0
2314723,"female","$50K-$69,999","West","white","single person",0.6832,"1.2-4 million","single family detached",742,5518,20,1619,138,344,0
2314784,"male","$70K+","South","white","H/W, own children only, oldest child 6-17 years old",0.9314,".33-1.19 million","single family detached",3055,3202.5,0,1730,360,598,0
2314825,"female","$70K+","Midwest","white","H/W, own children only, oldest child 6-17 years old",0.9054,"1.2-4 million","single family detached",7258,2380,1055,595,2786,1266,0
2314893,"female","$20K-$29,999","Northeast","black","one parent, female, at least one child under 18 years old",0.3417,"4 million+","apartment or flat",1615,3353,457,4400,36,195,0
2314904,"female","$15K-$19,999","South","white","Husband and wife only",0.0889,"1.2-4 million","single family detached",1820,1880,0,180,708.4,132,0
2314995,"female","$15K-$19,999","South","white","Husband and wife only",NA,"125-329 thousand","single family detached",1755,797,0,1050,0,319,0
2315063,"female","$70K+","Northeast","asian","other household",0.8164,"4 million+","other",8913,5581,335,2042,1256,3779,0
2315094,"male","$70K+","South","black","single person",NA,"4 million+","row or townhouse inner unit",6082,2827,610,2548,5274,1104,0
2315135,"female","$10K-$14,999","Midwest","black","other household",0.1039,"125-329 thousand","3-plex or 4-plex",910,3602,0,474,0,90,0
2315213,"female","$50K-$69,999","South","white","H/W, own children only, oldest child 6-17 years old",0.6087,".33-1.19 million","single family detached",2535,2930.5,110,3800,0,177,0
2315284,"female","$70K+","West","white","Husband and wife only",0.6976,"125-329 thousand","row or townhouse inner unit",1181,2158,0,1631,1043,1705,0
2315465,"female","$40K-$49,999","Midwest","white","single person",0.5558,"1.2-4 million","end row or end townhouse",1560,1678,78,895,924.2,97,0
2315513,"female","$30K-$39,999","West","white","Husband and wife only",0.4195,"125-329 thousand","single family detached",1290,1897,141,781,2043.2,119,0
2315604,"male","$70K+","South","white","H/W, own children only, oldest child under 6 years old",0.9142,"4 million+","single family detached",1690,4283,300,4506,722,1717,0
2315615,"male","$70K+","Midwest","white","Other H/W household",0.8187,"1.2-4 million","single family detached",1365,2649,0,1207,949.2,408,0
2315643,"female","$10K-$14,999","South","white","single person",0.1406,"less than 125 thousand","mobile home or trailer",715,1467,210,300,659.2,0,0
2315784,"female","$15K-$19,999","South","black","single person",0.1859,"125-329 thousand","garden",845,1821,0,507,260,147,0
2315785,"female","$15K-$19,999","South","black","single person",0.1897,"125-329 thousand","garden",390,1821,0,645,260,147,0
2315793,"female","$50K-$69,999","South","black","other household",NA,"125-329 thousand","single family detached",1365,3129,214,1722,300,357,0
2315934,"female","$40K-$49,999","West","asian","other household",NA,"1.2-4 million","3-plex or 4-plex",260,7102,0,1439,0,349,315
2315965,"female","$20K-$29,999","South","black","one parent, female, at least one child under 18 years old",0.2328,"125-329 thousand","mobile home or trailer",1710,1928,170,1385,0,155,0
2316043,"female","$70K+","South","white","single person",0.9389,"4 million+","single family detached",2495,10048,1350,853,739.2,532,0
2316175,"male","$50K-$69,999","South","white","Husband and wife only",NA,"125-329 thousand","single family detached",1809,3355,0,1234,0,192,0
2316214,"male","$70K+","West","white","single person",0.8873,"125-329 thousand","single family detached",1660,6100,0,993,99,1719,0
2316223,"male","<$5K","South","white","single person",0.0145,"less than 125 thousand","single family detached",460,1656,0,462,18,0,0
2316285,"female","$10K-$14,999","Northeast","multi-race","one parent, female, at least one child under 18 years old",0.139,"125-329 thousand","apartment or flat",1235,2528,242,651,15,265,0
2316354,"male","$20K-$29,999","South","black","H/W, own children only, oldest child 6-17 years old",0.3203,"125-329 thousand","apartment or flat",598,788,412,141,366,40,0
2316443,"male","$20K-$29,999","West","asian","H/W, own children only, oldest child 6-17 years old",0.2968,"4 million+","3-plex or 4-plex",1365,2902,170,333,1156.8,220,0
2316475,"female","$70K+","South","white","Husband and wife only",0.8474,"125-329 thousand","single family detached",2730,14925,797,2773,1283.4,1540,0
2316594,"female","$70K+","West","white","other household",0.7368,"4 million+","apartment or flat",1300,5908,45,1314,0,300,0
2316663,"female","$70K+","Northeast","white","single person",0.7082,"4 million+","single family detached",780,3284,275,465,0,80,0
2316724,"male","$50K-$69,999","West","white","Husband and wife only",0.5726,"125-329 thousand","single family detached",1210,1398,200,779,1577.4,1335,0
2316725,"male","$40K-$49,999","West","white","Husband and wife only",0.5544,"125-329 thousand","single family detached",2410,1227,240,1787,579.4,542,0
2316763,"female","<$5K","South","white","single person",0.0119,"1.2-4 million","single family detached",780,1599,200,891,322,995,0
2317044,"male","$40K-$49,999","Northeast","white","other household",0.5293,"4 million+","row or townhouse inner unit",1690,2723,152,720,158,609,0
2317053,"male","$20K-$29,999","Northeast","white","single person",NA,"4 million+","apartment or flat",1235,3191,280,120,0,814,0
2317055,"male","$20K-$29,999","Northeast","white","single person",NA,"4 million+","apartment or flat",1560,3297,100,120,0,490,0
2317204,"female","$70K+","Northeast","white","other household",0.7916,"4 million+","row or townhouse inner unit",3020,14086,0,1539,776.2,0,0
2317213,"male","$70K+","Midwest","white","H/W, own children only, oldest child 6-17 years old",0.825,"125-329 thousand","single family detached",1927,3492,325,2634,1023,858,2500
2317235,"female","$70K+","Northeast","white","H/W, own children only, oldest child 6-17 years old",0.8093,"less than 125 thousand","single family detached",2130,3293,65,2136,390,394,0
2317394,"male","$70K+","South","white","H/W, own children only, oldest child over 17 years old",NA,"4 million+","single family detached",1690,4511.25,161,1813,1078,610,0
2317413,"female","$5K-$9,999","Northeast","white","single person",0.0822,"4 million+","high-rise",650,880,11,0,0,30,0
2317415,"female","$10K-$14,999","Northeast","white","single person",0.0918,"4 million+","high-rise",650,1310,2,0,0,0,0
2317554,"female","$10K-$14,999","Midwest","white","single person",0.1345,"125-329 thousand","single family detached",2015,1158,46,446,72,126,0
2317603,"female","<$5K","Midwest","black","single person",NA,"1.2-4 million","apartment or flat",780,340,50,300,150,316,150
2317615,"female","$40K-$49,999","Northeast","black","one parent, female, at least one child under 18 years old",0.5225,"4 million+","row or townhouse inner unit",1445,2831,682,1838,284,377,0
2317743,"female","$20K-$29,999","South","white","other household",0.3063,"125-329 thousand","single family detached",1508,2332,175,849,589.2,255,0
2317744,"female","$20K-$29,999","South","white","other household",0.2993,"125-329 thousand","single family detached",1950,3206,27,1165,889.2,123,0
2317855,"female","$10K-$14,999","South","black","one parent, female, at least one child under 18 years old",0.1208,"less than 125 thousand","apartment or flat",338,1974,0,606,0,186,0
2317894,"female","$20K-$29,999","South","white","single person",0.2729,"125-329 thousand","duplex",520,6027,250,1033,303,74,0
2317903,"female","$15K-$19,999","South","white","H/W, own children only, oldest child 6-17 years old",0.2377,"less than 125 thousand","mobile home or trailer",1885,1781.5,178,750,0,212,0
2318005,"female","$50K-$69,999","Northeast","white","other household",0.6691,"4 million+","garden",4118,4631,252,31816,1708.4,492,0
2318023,"female","$70K+","Midwest","white","single person",0.7446,"125-329 thousand","single family detached",1068,1169.25,295,911,1158,211,0
2318114,"male","$40K-$49,999","Midwest","white","Husband and wife only",0.5403,"125-329 thousand","single family detached",2259,4387,112,855,387,1260,490
2318143,"male","$15K-$19,999","South","black","Husband and wife only",NA,"125-329 thousand","single family detached",715,5647,0,300,365,0,0
2318175,"male","$15K-$19,999","Northeast","white","Husband and wife only",0.1665,"4 million+","apartment or flat",1300,3859,30,0,878.4,165,0
2318264,"female","$50K-$69,999","Midwest","white","H/W, own children only, oldest child over 17 years old",NA,"125-329 thousand","single family detached",754,2767,0,3003,1020,153,0
2318303,"male","$50K-$69,999","Midwest","white","single person",0.5954,"4 million+","row or townhouse inner unit",2155,4507.25,571,974,75,317,0
2318385,"female","$70K+","South","white","Husband and wife only",0.8513,"125-329 thousand","single family detached",5545,5131,75,2084,790,2632,0
2318394,"male","$70K+","Midwest","asian","other household",NA,"4 million+","apartment or flat",1705,4640,90,2250,0,240,11450
2318413,"male","$40K-$49,999","South","white","single person",0.4688,"1.2-4 million","garden",715,5641,32,1680,54,790,0
2318504,"male","$70K+","South","white","H/W, own children only, oldest child 6-17 years old",0.9069,"125-329 thousand","single family detached",4718,5624.75,339,1985,2442,880,0
2318505,"male","$70K+","South","white","H/W, own children only, oldest child 6-17 years old",0.9104,"125-329 thousand","single family detached",4626,6623.75,862,3464,1985,1288,30
2318553,"male","$40K-$49,999","West","white","single person",NA,"4 million+","row or townhouse inner unit",1331,1810,100,430,0,0,0
2318604,"male","$50K-$69,999","Midwest","white","single person",0.5957,"1.2-4 million","single family detached",1300,3378,70,1919,1300,383,0
2318635,"female","$30K-$39,999","South","white","Husband and wife only",0.3674,"1.2-4 million","single family detached",2580,7850,370,1957,1826.4,468,0
2318703,"male","$40K-$49,999","South","black","Husband and wife only",0.5293,".33-1.19 million","single family detached",845,1592.5,0,1268,102,285,0
2318784,"male","$70K+","Northeast","black","Husband and wife only",0.7341,"4 million+","duplex",780,13113,0,849,65,180,0
2318855,"female","$20K-$29,999","Northeast","black","single person",0.3065,"4 million+","high-rise",2275,2659,528,0,651.2,198,0
2318903,"female","$20K-$29,999","South","white","Husband and wife only",0.3184,"125-329 thousand","row or townhouse inner unit",1300,2466,59,509,908.4,219,0
2318934,"male","$20K-$29,999","West","white","single person",0.2471,"1.2-4 million","garden",292,1845,1,685,0,266,0
2319113,"female","$70K+","Northeast","white","H/W, own children only, oldest child over 17 years old",0.8694,"4 million+","single family detached",2098,4441,513,2143,10,798,0
2319115,"female","$70K+","Northeast","white","H/W, own children only, oldest child over 17 years old",0.9067,"4 million+","single family detached",5833,4144,282,3544,640,1685,0
2319234,"male","$30K-$39,999","Northeast","white","Husband and wife only",0.4486,"125-329 thousand","single family detached",2990,1412,300,720,450,714,0
2319273,"female","$40K-$49,999","West","black","other household",0.4796,"1.2-4 million","end row or end townhouse",1690,3633,341,626,746,110,0
2319355,"female","$50K-$69,999","Midwest","white","Husband and wife only",0.5903,"1.2-4 million","row or townhouse inner unit",1560,4097,133,847,1665.2,334,0
2319374,"male","$30K-$39,999","South","white","other household",0.4553,"125-329 thousand","single family detached",2130,3324,0,5632,1216,1426,0
2319423,"female","$50K-$69,999","Midwest","white","Husband and wife only",NA,"125-329 thousand","3-plex or 4-plex",1779,2551,340,1736,1822,15,0
2319465,"male","$15K-$19,999","Northeast","white","single person",0.1985,"less than 125 thousand","single family detached",585,680,0,335,634.2,210,0
2319494,"female","$20K-$29,999","Northeast","white","H/W, own children only, oldest child under 6 years old",0.6142,"1.2-4 million","single family detached",1820,4316,120,3093,1039,427,0
2319563,"female","$50K-$69,999","West","white","other household",NA,"4 million+","single family detached",2188,1395,258,720,0,282,0
2319734,"female","$20K-$29,999","West","white","Other H/W household",0.0346,"125-329 thousand","mobile home or trailer",910,985,45,240,0,201,0
2319735,"female","$50K-$69,999","West","white","Other H/W household",0.4337,"125-329 thousand","mobile home or trailer",1040,832,0,150,0,0,0
2319763,"male","$50K-$69,999","South","white","Husband and wife only",0.6499,"1.2-4 million","single family detached",1690,4351,310,820,201,818,111
2319894,"female","$20K-$29,999","West","white","single person",0.2717,"1.2-4 million","apartment or flat",260,7901,48,0,778.2,63,0
2319945,"male","$70K+","South","asian","single person",0.7518,"125-329 thousand","row or townhouse inner unit",1645,3965,260,849,332,331,0
2319963,"male","$50K-$69,999","Midwest","white","Husband and wife only",0.6876,"125-329 thousand","single family detached",1745,2679.25,200,939,2897,509,0
2320124,"female","$10K-$14,999","West","asian","single person",NA,"1.2-4 million","other",1950,2138,80,450,0,0,3480
2320215,"male","$70K+","Midwest","white","other household",0.7796,"less than 125 thousand","single family detached",2458,3329.5,500,19105,-144,1682,0
2320323,"male","$50K-$69,999","South","white","single person",0.6339,"4 million+","single family detached",1755,2725.5,0,435,0,195,0
2320374,"male","$70K+","West","white","Husband and wife only",0.7559,"1.2-4 million","single family detached",1885,3831,0,24600,200,360,0
2320405,"female","$50K-$69,999","South","black","one parent, female, at least one child under 18 years old",NA,"1.2-4 million","single family detached",2125,6735,920,16037,0,660,0
2320593,"male","$40K-$49,999","South","white","Husband and wife only",0.4705,"125-329 thousand","mobile home or trailer",1885,2993.5,0,5757,80,800,0
2320645,"male","$50K-$69,999","Northeast","white","Husband and wife only",NA,"4 million+","other",910,10793,30,300,315,450,0
2320654,"male","$70K+","Northeast","white","other household",0.9657,"125-329 thousand","single family detached",2860,6040,0,2577,5360,2228,0
2320703,"female","$50K-$69,999","South","white","other household",0.5774,".33-1.19 million","mobile home or trailer",1040,2865,476,2097,65,997,0
2320754,"female","$70K+","West","white","Other H/W household",0.7676,"125-329 thousand","single family detached",1963,4972,186,1247,510,659,0
2320755,"female","$70K+","West","white","Other H/W household",0.8055,"125-329 thousand","single family detached",1560,3138,130,1605,461,2637,0
2320903,"female","$40K-$49,999","South","white","single person",0.4941,"1.2-4 million","single family detached",1300,1809,944,739,433,566,0
2320974,"female","$10K-$14,999","South","white","single person",NA,"125-329 thousand","single family detached",1365,2460,106,707,994.2,400,0
2321035,"female","$30K-$39,999","South","white","other household",0.4085,"125-329 thousand","mobile home or trailer",1352,2200,258,668,801.2,298,0
2321043,"female","$70K+","Midwest","black","other household",0.8737,"125-329 thousand","single family detached",2057,3528,0,834,0,177,0
2321124,"male","$50K-$69,999","Midwest","white","H/W, own children only, oldest child 6-17 years old",NA,"less than 125 thousand","other",2170,2175,261,1425,80,0,0
2321185,"male","$70K+","West","white","Husband and wife only",0.7246,"125-329 thousand","single family detached",3250,4178.25,543,1076,4462,75,0
2321253,"female","$70K+","Midwest","white","other household",0.4139,"1.2-4 million","single family detached",3380,5733,406,1733,312,911,0
2321384,"male","$5K-$9,999","West","white","single person",0.0588,"1.2-4 million","garden",650,2446,65,35,0,277,0
2321533,"female","$50K-$69,999","West","white","Husband and wife only",0.6053,"1.2-4 million","single family detached",2080,2055,25,1313,1378.4,582,0
2321555,"male","$40K-$49,999","South","white","single person",0.4798,"125-329 thousand","single family detached",1150,1607,123,1483,102,79,0
2321624,"male","$70K+","West","white","H/W, own children only, oldest child over 17 years old",0.8995,"4 million+","single family detached",2600,4821.5,655,2592,6784.2,1098,0
2321753,"male","$70K+","South","white","Husband and wife only",0.8564,"4 million+","single family detached",3085,2419,1240,785,1526.4,1528,0
2321755,"male","$20K-$29,999","South","white","Husband and wife only",0.2322,"4 million+","single family detached",2841,3414,625,1169,3736.4,435,0
2321804,"female","$70K+","Northeast","white","H/W, own children only, oldest child 6-17 years old",NA,"4 million+","single family detached",5330,8016,1400,3338,5757,2300,0
2321873,"female","$15K-$19,999","Northeast","white","single person",0.2278,"125-329 thousand","single family detached",750,1979,92,817,1116.2,263,0
2321984,"male","$30K-$39,999","West","white","H/W, own children only, oldest child 6-17 years old",0.43,"4 million+","apartment or flat",2080,3029,302,1210,0,10,88
2321995,"female","$40K-$49,999","South","white","Other H/W household",0.5325,"125-329 thousand","mobile home or trailer",1625,1553,68,1484,2202.6,330,0
2322033,"female","$70K+","South","black","H/W, own children only, oldest child 6-17 years old",0.3699,"4 million+","3-plex or 4-plex",2080,6928,633,2114,25,480,0
2322154,"male","$5K-$9,999","South","white","single person",0.057,"less than 125 thousand","single family detached",849,652,176,423,0,0,0
2322175,"male","$70K+","South","white","H/W, own children only, oldest child 6-17 years old",0.855,".33-1.19 million","single family detached",3157,5630,515,3300,2910,434,120
2322213,"female","$10K-$14,999","Midwest","white","single person",NA,"125-329 thousand","mobile home or trailer",2080,1734,0,315,877.2,220,0
2322275,"male","$70K+","South","white","single person",0.8517,"1.2-4 million","single family detached",1048,3482,16,884,-23,185,0
2322284,"female","$50K-$69,999","Northeast","white","H/W, own children only, oldest child over 17 years old",0.6647,"4 million+","single family detached",1703,3282,0,600,0,99,0
2322393,"female","$50K-$69,999","Northeast","asian","single person",NA,"4 million+","apartment or flat",1088,3392,254,820,30,555,22900
2322574,"male","$40K-$49,999","West","white","H/W, own children only, oldest child 6-17 years old",0.5568,"1.2-4 million","single family detached",611,6280,300,1065,1500,120,0
2322625,"male","$70K+","Northeast","white","one parent, male, at least one child under 18 years old",0.996,"4 million+","single family detached",6620,16658,2354,13263,1100,2566,9750
2322643,"female","$20K-$29,999","Northeast","white","H/W, own children only, oldest child under 6 years old",0.3236,"4 million+","apartment or flat",1820,5071,512,445,0,472,0
2322694,"male","$20K-$29,999","South","white","single person",0.3119,".33-1.19 million","apartment or flat",1235,2760,0,240,70,0,0
2322743,"male","$70K+","South","white","Husband and wife only",0.8749,".33-1.19 million","single family detached",2671,2686,492,719,194,341,0
2322755,"male","$70K+","West","white","other household",0.854,"4 million+","single family detached",2860,14564.25,0,0,1628.4,240,0
2322844,"female","$50K-$69,999","Northeast","white","H/W, own children only, oldest child 6-17 years old",0.6214,"4 million+","single family detached",1697,6371,151,2923,140,733,0
2322875,"male","$5K-$9,999","South","black","other household",0.0663,".33-1.19 million","garden",1239,1675,0,0,289.2,0,0
2322933,"male","$70K+","Northeast","white","other household",NA,"4 million+","single family detached",2476,9966,1691,4171,1700,480,0
2323034,"male","$30K-$39,999","South","black","H/W, own children only, oldest child over 17 years old",0.2236,"1.2-4 million","single family detached",1523,1368.5,635,240,873.4,413,0
2323083,"female","$30K-$39,999","Northeast","white","single person",0.4087,".33-1.19 million","single family detached",949,2458,0,658,436,336,0
2323085,"female","$30K-$39,999","Northeast","white","single person",0.3831,".33-1.19 million","single family detached",1430,1344,0,806,448,414,0
2323253,"female","$40K-$49,999","South","white","Husband and wife only",0.4834,"125-329 thousand","mobile home or trailer",2340,1109,95,18160,774.2,970,0
2323254,"female","$40K-$49,999","South","white","Husband and wife only",0.5001,"125-329 thousand","mobile home or trailer",3055,2339,170,2158,3479.2,700,0
2323365,"male","$70K+","Northeast","white","other household",NA,"4 million+","row or townhouse inner unit",1365,5612,0,1708,1390.4,812,0
2323423,"female","$40K-$49,999","Midwest","white","Husband and wife only",0.0626,"less than 125 thousand","3-plex or 4-plex",1300,5110,230,450,0,268,0
2323424,"female","$30K-$39,999","Midwest","white","Husband and wife only",0.0615,"less than 125 thousand","3-plex or 4-plex",3796,2850,20,675,150,362,0
2323475,"male","$20K-$29,999","West","white","H/W, own children only, oldest child 6-17 years old",0.2777,"1.2-4 million","garden",1898,1782,0,1167,0,0,0
2323543,"male","$20K-$29,999","Northeast","white","single person",0.2778,"less than 125 thousand","mobile home or trailer",1090,624.5,0,823,0,438,0
2323554,"female","$20K-$29,999","South","black","one parent, female, at least one child under 18 years old",NA,"less than 125 thousand","apartment or flat",1495,2764,15,842,0,138,0
2323675,"female","$70K+","South","black","H/W, own children only, oldest child 6-17 years old",0.9547,"125-329 thousand","single family detached",2453,4002,0,851,1605,364,95
2323733,"male","$40K-$49,999","Midwest","white","Husband and wife only",NA,"less than 125 thousand","single family detached",650,1959,150,300,180,110,1674
2323734,"male","$20K-$29,999","Midwest","white","Husband and wife only",NA,"less than 125 thousand","single family detached",780,1724,100,900,120,220,0
2323915,"female","$10K-$14,999","South","white","single person",0.1258,".33-1.19 million","single family detached",910,1833.75,33,3885,411.2,375,0
2323993,"female","$5K-$9,999","Northeast","white","one parent, female, at least one child under 18 years old",0.047,"125-329 thousand","end row or end townhouse",1690,1160,88,0,110,681,0
2323994,"female","$5K-$9,999","Northeast","white","one parent, female, at least one child under 18 years old",0.0459,"125-329 thousand","end row or end townhouse",910,515,0,28,0,539,0
2324123,"female","$40K-$49,999","West","white","Husband and wife only",0.5583,"125-329 thousand","single family detached",1533,4614,311,555,1072.4,1121,0
2324125,"female","$70K+","West","white","Husband and wife only",0.7903,"125-329 thousand","single family detached",2290,7502,380,2990,1112.4,1540,0
2324144,"male","$50K-$69,999","West","white","Husband and wife only",0.6479,"4 million+","single family detached",3380,4412,38,441,6186.4,0,0
2324265,"male","$20K-$29,999","South","asian","H/W, own children only, oldest child 6-17 years old",0.3113,"4 million+","apartment or flat",780,2946,215,620,0,105,0
2324414,"male","$15K-$19,999","South","black","single person",0.1839,"125-329 thousand","single family detached",455,2773,0,550,90,120,0
2324455,"male","$30K-$39,999","Midwest","white","single person",0.4157,"125-329 thousand","single family detached",880,3290,0,12298,0,20,0
2324493,"male","$70K+","Northeast","white","H/W, own children only, oldest child under 6 years old",NA,"4 million+","single family detached",2405,10407,0,727,30,1025,0
2324544,"male","$30K-$39,999","West","white","H/W, own children only, oldest child 6-17 years old",0.4639,"1.2-4 million","garden",2032,2166,100,743,0,100,0
2324585,"male","$40K-$49,999","Midwest","white","Husband and wife only",0.475,"less than 125 thousand","single family detached",1610,2758.5,324,4124,225,510,0
2324673,"male","$10K-$14,999","Northeast","white","single person",NA,"125-329 thousand","duplex",650,2289,52,6,430.2,246,0
2324694,"male","$30K-$39,999","South","white","other household",0.4475,"1.2-4 million","apartment or flat",1625,3354,5,679,45,517,0
2324825,"female","$70K+","West","white","Husband and wife only",0.7183,"4 million+","apartment or flat",1505,11057,270,2710,294,288,0
2324893,"male","$50K-$69,999","Northeast","white","Other H/W household",0.6306,"4 million+","apartment or flat",2472,5562,616,387,1436.2,350,0
2324974,"female","$10K-$14,999","Midwest","white","single person",0.1136,"4 million+","apartment or flat",1495,2169,62,252,10,270,0
2325023,"male","$70K+","West","white","single person",0.7248,"1.2-4 million","single family detached",845,1659,430,574,0,340,0
2325035,"male","$70K+","Northeast","white","Husband and wife only",0.846,"4 million+","single family detached",4588,9060,0,30791,1619.4,557,0
2325074,"female","$40K-$49,999","Midwest","black","other household",NA,"4 million+","single family detached",975,2536,0,1255,0,0,0
2325123,"male","$5K-$9,999","South","white","H/W, own children only, oldest child 6-17 years old",NA,"1.2-4 million","single family detached",5820,15116.25,1960,4440,4422,3785,16000
2325185,"female","$70K+","South","black","H/W, own children only, oldest child 6-17 years old",0.4046,"4 million+","single family detached",1510,8681,0,1816,480,820,0
2325214,"female","$70K+","South","white","H/W, own children only, oldest child 6-17 years old",0.773,"125-329 thousand","mobile home or trailer",325,2462,120,1543,1650,280,3000
2325343,"male","$30K-$39,999","South","white","H/W, own children only, oldest child 6-17 years old",0.3928,"125-329 thousand","single family detached",1435,3042,400,6679,1150,1366,0
2325514,"male","$70K+","West","white","Other H/W household",0.8861,"1.2-4 million","single family detached",3270,9233,87,32264,926.2,608,57
